name,asciiname,population
Karben,Karben,21642
Kamp-Lintfort,Kamp-Lintfort,39490
Kamenz,Kamenz,18270
Kamen,Kamen,45927
Kaltenkirchen,Kaltenkirchen,19747
Kaiserslautern,Kaiserslautern,98732
Kaarst,Kaarst,42112
JÌ_lich,Juelich,33911
JÌ_chen,Juchen,22562
Johannisthal,Johannisthal,18254
Jena,Jena,104712
Itzehoe,Itzehoe,33047
Isernhagen Farster Bauerschaft,Isernhagen Farster Bauerschaft,22601
Iserlohn,Iserlohn,97910
Ingolstadt,Ingolstadt,120658
Ilmenau,Ilmenau,27055
Illingen,Illingen,18488
Illertissen,Illertissen,16522
Idstein,Idstein,22810
Idar-Oberstein,Idar-Oberstein,31610
IbbenbÌ_ren,Ibbenbueren,50577
Husum,Husum,20841
HÌ_rth,Huerth,54678
HÌ_nfeld,Huenfeld,16323
HummelsbÌ_ttel,Hummelsbuettel,17365
Humboldtkolonie,Humboldtkolonie,15108
Hude,Hude,15567
HÌ_ckeswagen,Hueckeswagen,16369
HÌ_ckelhoven,Hueckelhoven,39828
Hoyerswerda,Hoyerswerda,43681
HÌ¦xter,Hoexter,32713
HÌ¦velhof,Hovelhof,15962
HÌ¦rstel,Hoerstel,19894
Horb am Neckar,Horb am Neckar,25960
Homburg,Homburg,44607
Holzwickede,Holzwickede,17821
Holzminden,Holzminden,20998
Holzkirchen,Holzkirchen,15199
Hohenstein-Ernstthal,Hohenstein-Ernstthal,16542
Hohen Neuendorf,Hohen Neuendorf,21893
Hofheim am Taunus,Hofheim am Taunus,37750
Hofgeismar,Hofgeismar,16444
Hof,Hof,49239
Hockenheim,Hockenheim,20614
Hochheim am Main,Hochheim am Main,17027
Hochfeld,Hochfeld,16292
Hille,Hille,16567
Hildesheim,Hildesheim,103052
Hilden,Hilden,56565
Hilchenbach,Hilchenbach,16467
Hiddenhausen,Hiddenhausen,20771
Heusweiler,Heusweiler,20006
Heusenstamm,Heusenstamm,19012
Hettstedt,Hettstedt,15949
Hessisch Oldendorf,Hessisch Oldendorf,20129
Herzogenrath,Herzogenrath,47381
Herzogenaurach,Herzogenaurach,23319
Herten,Herten,65306
Herrenberg,Herrenberg,31338
Herne,Herne,172108
Hermsdorf,Hermsdorf,16113
Herford,Herford,64879
Herdecke,Herdecke,25618
Herborn,Herborn,21133
Heppenheim an der Bergstrasse,Heppenheim an der Bergstrasse,25442
Hennigsdorf,Hennigsdorf,26122
Hennef,Hennef,45409
Hemmingen,Hemmingen,18470
Hemer,Hemer,37502
Helmstedt,Helmstedt,25515
Hellersdorf,Hellersdorf,74847
Heinsberg,Heinsberg,41505
Heilbad Heiligenstadt,Heilbad Heiligenstadt,17230
Heiligensee,Heiligensee,17587
Heiligenhaus,Heiligenhaus,27700
Heilbronn,Heilbronn,120733
Heidenheim an der Brenz,Heidenheim an der Brenz,50067
Heidenau,Heidenau,16756
Heidelberg,Heidelberg,143345
Heide,Heide,20599
Hechingen,Hechingen,19400
Hattingen,Hattingen,56866
Hattersheim,Hattersheim,25035
HaÌÙloch,Hassloch,20779
Harsewinkel,Harsewinkel,24207
Haren,Haren,22545
Harburg,Harburg,202571
Hannover,Hannover,515140
Hanau am Main,Hanau am Main,88648
Hamminkeln,Hamminkeln,27433
Hamm,Hamm,185327
Hameln,Hameln,58666
Wandsbek,Wandsbek,411422
Marienthal,Marienthal,287101
Hamburg-Mitte,Hamburg-Mitte,233144
EimsbÌ_ttel,Eimsbuettel,251907
Altona,Altona,250192
Hamburg,Hamburg,1739117
Halver,Halver,17650
Haltern,Haltern,37788
Halstenbek,Halstenbek,16212
Halle,Halle,21071
Halle (Saale),Halle (Saale),234107
Haldensleben I,Haldensleben I,20294
Halberstadt,Halberstadt,39729
Hakenfelde,Hakenfelde,26940
Haiger,Haiger,20218
Hagen,Hagen,198972
Haar,Haar,17560
Haan,Haan,29431
GÌ_tersloh,Guetersloh,96180
GÌ_strow,Guestrow,31217
Gunzenhausen,Gunzenhausen,16477
GÌ_nzburg,Guenzburg,19737
Gummersbach,Gummersbach,53131
Guben,Guben,21608
GroÌÙ-Umstadt,Gross-Umstadt,21758
GroÌÙostheim,Grossostheim,16346
GroÌÙ-Gerau,Gross-Gerau,23641
GroÌÙenhain,Grossenhain,16573
Gronau,Gronau,46161
GrÌ¦benzell,Grobenzell,19110
Grimma,Grimma,17991
Griesheim,Griesheim,25287
Grevenbroich,Grevenbroich,64779
Greven,Greven,35080
Greiz,Greiz,24147
Greifswald,Greifswald,52731
Grefrath,Grefrath,16016
GÌ¦ttingen,Goettingen,122149
Gotha,Gotha,46615
Goslar,Goslar,43560
GÌ¦rlitz,Goerlitz,57751
GÌ¦ppingen,Goeppingen,58040
Goch,Goch,33706
Glinde,Glinde,16210
Glauchau,Glauchau,26473
Gladbeck,Gladbeck,76940
Ginsheim-Gustavsburg,Ginsheim-Gustavsburg,16043
Gilching,Gilching,16859
Gifhorn,Gifhorn,43000
GieÌÙen,Giessen,74411
Giengen an der Brenz,Giengen an der Brenz,20201
Gevelsberg,Gevelsberg,32664
Gesundbrunnen,Gesundbrunnen,84789
Geseke,Geseke,20602
Gescher,Gescher,17115
Gersthofen,Gersthofen,20254
Germersheim,Germersheim,20972
Germering,Germering,36834
Gerlingen,Gerlingen,19050
Geretsried,Geretsried,23364
Gera,Gera,104659
GeorgsmarienhÌ_tte,Georgsmarienhuette,32580
Gelsenkirchen,Gelsenkirchen,270028
Gelnhausen,Gelnhausen,21881
Geldern,Geldern,34013
Geislingen an der Steige,Geislingen an der Steige,27962
Geilenkirchen,Geilenkirchen,28334
Geesthacht,Geesthacht,29487
Gauting,Gauting,19216
Garmisch-Partenkirchen,Garmisch-Partenkirchen,26022
Garching bei MÌ_nchen,Garching bei Munchen,15303
Garbsen,Garbsen,63355
Ganderkesee,Ganderkesee,31141
Gaggenau,Gaggenau,29496
FÌ_rth,Furth,112025
FÌ_rstenwalde,Fuerstenwalde,33539
FÌ_rstenfeldbruck,Fuerstenfeldbruck,33533
Fulda,Fulda,63760
FrÌ¦ndenberg,Froendenberg,22964
Frohnau,Frohnau,16571
Friesoythe,Friesoythe,20311
Friedrichshain,Friedrichshain Bezirk,117829
Friedrichshagen,Friedrichshagen,17529
Friedrichshafen,Friedrichshafen,58403
Friedrichsfelde,Friedrichsfelde,49109
Friedrichsdorf,Friedrichsdorf,24435
Friedenau,Friedenau,26972
Friedberg,Friedberg,27484
Friedberg,Friedberg,29189
Freudenstadt,Freudenstadt,23868
Freudenberg,Freudenberg,18601
Freital,Freital,39027
Freising,Freising,42570
Freilassing,Freilassing,15909
Freiburg,Freiburg,215966
Freiberg am Neckar,Freiberg am Neckar,15235
Freiberg,Freiberg,43670
Frechen,Frechen,48733
Frankfurt am Main,Frankfurt am Main,650000
Frankfurt (Oder),Frankfurt (Oder),51691
Frankenthal,Frankenthal,47438
Frankenberg,Frankenberg,19276
Frankenberg,Frankenberg,16850
Forst,Forst,22843
Forchheim,Forchheim,30442
FlÌ¦rsheim,Floersheim,20023
Flensburg,Flensburg,85838
Finsterwalde,Finsterwalde,18922
Finnentrop,Finnentrop,18427
Stuttgart Feuerbach,Stuttgart Feuerbach,28046
Fellbach,Fellbach,43935
Falkensee,Falkensee,37468
Eutin,Eutin,16984
Euskirchen,Euskirchen,54889
Ettlingen,Ettlingen,38942
Esslingen,Esslingen,92390
Essen,Essen,593085
Espelkamp,Espelkamp,26378
Eschweiler,Eschweiler,55778
Eschwege,Eschwege,21191
Eschborn,Eschborn,20383
Erwitte,Erwitte,16081
Erlangen,Erlangen,102675
Erkrath,Erkrath,47815
Erkelenz,Erkelenz,44650
Erfurt,Erfurt,203254
Erftstadt,Erftstadt,51207
Erding,Erding,33519
Eppingen,Eppingen,21179
Eppelborn,Eppelborn,18079
Ennigerloh,Ennigerloh,20713
Ennepetal,Ennepetal,32607
Enger,Enger,19852
Engelskirchen,Engelskirchen,20786
Emsdetten,Emsdetten,35582
Emmerich,Emmerich,29289
Emmendingen,Emmendingen,27383
Emden,Emden,51526
Eltville,Eltville,16845
Elsdorf,Elsdorf,21967
Elmshorn,Elmshorn,48703
Ellwangen,Ellwangen,25276
Eitorf,Eitorf,19761
Eislingen,Eislingen,20585
EisenhÌ_ttenstadt,Eisenhuettenstadt,32052
Eisenach,Eisenach,43846
Einbeck,Einbeck,27931
Eilenburg,Eilenburg,17609
Ehingen,Ehingen,26097
Eggenstein-Leopoldshafen,Eggenstein-Leopoldshafen,15189
Edewecht,Edewecht,20658
EckernfÌ¦rde,Eckernfoerde,23383
Eberswalde,Eberswalde,41980
Ebersbach an der Fils,Ebersbach an der Fils,15919
Eberbach,Eberbach,15624
DÌ_sseldorf,Duesseldorf,573057
DÌ_ren,Dueren,93440
DÌ_lmen,Duelmen,47495
Duisburg,Duisburg,504358
Duderstadt,Duderstadt,22910
Dresden,Dresden,486854
Drensteinfurt,Drensteinfurt,15260
Dreieich,Dreieich,40367
Dortmund,Dortmund,588462
Dorsten,Dorsten,79981
Dormagen,Dormagen,63582
DonauwÌ¦rth,Donauwoerth,18364
Donaueschingen,Donaueschingen,21604
DÌ¦beln,Doebeln,21338
Ditzingen,Ditzingen,24149
Dinslaken,Dinslaken,70573
Dingolfing,Dingolfing,18805
Dillingen an der Donau,Dillingen an der Donau,18734
Dillingen,Dillingen,21526
Dillenburg,Dillenburg,24461
Dietzenbach,Dietzenbach,33256
Diepholz,Diepholz,16783
Dieburg,Dieburg,15168
Deutz,Deutz,15238
Detmold,Detmold,73680
Dessau,Dessau,77315
Delmenhorst,Delmenhorst,75893
Delitzsch,Delitzsch,24998
DelbrÌ_ck,Delbrueck,29884
Deggendorf,Deggendorf,31081
Datteln,Datteln,36338
Darmstadt,Darmstadt,140385
Damme,Damme,16024
Dahlem,Dahlem,15737
Dachau,Dachau,39740
Cuxhaven,Cuxhaven,52677
Crimmitschau,Crimmitschau,22442
Crailsheim,Crailsheim,32262
Cottbus,Cottbus,84754
Coswig,Coswig,22304
Coesfeld,Coesfeld,36631
Coburg,Coburg,41901
Cloppenburg,Cloppenburg,31177
Clausthal-Zellerfeld,Clausthal-Zellerfeld,15345
Chemnitz,Chemnitz,247220
Charlottenburg,Charlottenburg Bezirk,119857
Cham,Cham,17314
Celle,Celle,71010
Castrop-Rauxel,Castrop-Rauxel,77924
Calw,Calw,23740
Buxtehude,Buxtehude,38192
Butzbach,Butzbach,25156
BÌ_rstadt,Buerstadt,15348
Burscheid,Burscheid,19215
Burghausen,Burghausen,18263
Burgdorf,Burgdorf,30218
Burg bei Magdeburg,Burg bei Magdeburg,24958
BÌ_ren,Bueren,22263
BÌ_nde,Buende,45403
BÌ_hl,Buhl,29193
BÌ_dingen,Buedingen,21579
Buckow,Buckow,38474
BÌ_ckeburg,Buckeburg,20700
Buchholz in der Nordheide,Buchholz in der Nordheide,37404
FranzÌ¦sisch Buchholz,Buchholz,19429
Buchen,Buchen,18890
BrÌ_hl,Bruehl,44137
BrÌ_ggen,Bruggen,16105
BruckmÌ_hl,Bruckmuhl,15851
Bruchsal,Bruchsal,42785
BruchkÌ¦bel,Bruchkoebel,20892
Britz,Britz,39488
Brilon,Brilon,27030
Bretten,Bretten,28144
BremervÌ¦rde,Bremervoerde,19268
Bremerhaven,Bremerhaven,117446
Bremen,Bremen,546501
Braunschweig,Braunschweig,244715
Brandenburg an der Havel,Brandenburg an der Havel,59826
Bramsche,Bramsche,31394
Brakel,Brakel,17808
Brake (Unterweser),Brake (Unterweser),16150
Brackenheim,Brackenheim,15083
Bottrop,Bottrop,119909
Bornheim,Bornheim,48523
Borna,Borna,18806
Borken,Borken,40876
Boppard,Boppard,16215
Bonn,Bonn,313125
BÌ¦nen,Bonen,19393
Bogenhausen,Bogenhausen,77542
Bochum,Bochum,385729
Bocholt,Bocholt,73943
BÌ¦blingen,Boeblingen,46282
Bobingen,Bobingen,16682
Blomberg,Blomberg,17183
Blieskastel,Blieskastel,23212
Blankenburg,Blankenburg,15963
Bitterfeld-Wolfen,Bitterfeld-Wolfen,15608
Bingen am Rhein,Bingen am Rhein,24657
Bietigheim-Bissingen,Bietigheim-Bissingen,41769
Biesdorf,Biesdorf,24988
Bielefeld,Bielefeld,331906
Biberach an der RiÌÙ,Biberach an der Riss,32333
Bexbach,Bexbach,19115
Beverungen,Beverungen,15266
Bernburg,Bernburg,32113
Bernau bei Berlin,Bernau bei Berlin,34866
Berlin,Berlin,3426354
Bergneustadt,Bergneustadt,20567
Bergkamen,Bergkamen,52329
Bergisch Gladbach,Bergisch Gladbach,106184
Bergheim,Bergheim,63558
Bensheim,Bensheim,39439
Bendorf,Bendorf,17495
Bedburg,Bedburg,24937
Beckum,Beckum,37814
Beckingen,Beckingen,15983
Bayreuth,Bayreuth,75061
Bautzen,Bautzen,41972
Baunatal,Baunatal,28173
Baumschulenweg,Baumschulenweg,17186
Bassum,Bassum,16191
Bamberg,Bamberg,70047
Balingen,Balingen,34414
Baiersbronn,Baiersbronn,16248
Baesweiler,Baesweiler,27834
Bad Zwischenahn,Bad Zwischenahn,27550
Bad Wildungen,Bad Wildungen,18037
Bad Waldsee,Bad Waldsee,19840
Bad Vilbel,Bad Vilbel,30736
Bad TÌ¦lz,Bad Toelz,17434
Bad Soden am Taunus,Bad Soden am Taunus,21357
Bad Segeberg,Bad Segeberg,16052
Bad Schwartau,Bad Schwartau,19722
Bad Salzungen,Bad Salzungen,16410
Bad Salzuflen,Bad Salzuflen,54899
Bad SÌ_ckingen,Bad Sackingen,16549
Bad Reichenhall,Bad Reichenhall,16910
Bad Rappenau,Bad Rappenau,20581
Bad Pyrmont,Bad Pyrmont,21629
Bad Oldesloe,Bad Oldesloe,24322
Bad Oeynhausen,Bad Oeynhausen,49513
Bad Neustadt an der Saale,Bad Neustadt an der Saale,16064
Bad Neuenahr-Ahrweiler,Bad Neuenahr-Ahrweiler,27823
Bad Nauheim,Bad Nauheim,30291
Bad MÌ_nstereifel,Bad Muenstereifel,19051
Bad MÌ_nder am Deister,Bad Muender am Deister,18726
Bad Mergentheim,Bad Mergentheim,22472
Bad Lippspringe,Bad Lippspringe,15175
Bad Langensalza,Bad Langensalza,18183
Bad Kreuznach,Bad Kreuznach,43213
Bad Kissingen,Bad Kissingen,21328
Bad Honnef,Bad Honnef,25348
Bad Homburg vor der HÌ¦he,Bad Homburg vor der Hoehe,51859
Bad Hersfeld,Bad Hersfeld,30725
Bad Harzburg,Bad Harzburg,22954
Bad Essen,Bad Essen,15732
Baden-Baden,Baden-Baden,54239
Bad DÌ_rkheim,Bad Duerkheim,18698
Bad Driburg,Bad Driburg,19553
Bad Berleburg,Bad Berleburg,20757
Bad Bentheim,Bad Bentheim,15508
Bad Aibling,Bad Aibling,17672
Backnang,Backnang,35778
Babenhausen,Babenhausen,16575
Aurich,Aurich,40319
Augsburg,Augsburg,259196
Auerbach,Auerbach,21358
Aue,Aue,18554
Attendorn,Attendorn,24773
Aschersleben,Aschersleben,24892
Ascheberg,Ascheberg,15184
Aschaffenburg,Aschaffenburg,68551
Bad Arolsen,Bad Arolsen,16854
Arnstadt,Arnstadt,25678
Arnsberg,Arnsberg,76612
Apolda,Apolda,24793
Ansbach,Ansbach,31839
Annaberg-Buchholz,Annaberg-Buchholz,23092
AngermÌ_nde,Angermuende,15453
Andernach,Andernach,29599
Amberg,Amberg,44737
Alzey,Alzey,18241
Alzenau in Unterfranken,Alzenau in Unterfranken,18932
Altglienicke,Altglienicke,26426
Altenburg,Altenburg,38568
Altena,Altena,20862
Altdorf,Altdorf,15312
Alsfeld,Alsfeld,17771
Alsdorf,Alsdorf,46340
Alfter,Alfter,21814
Alfeld,Alfeld,19138
Albstadt,Albstadt,46664
Aichach,Aichach,21042
Ahrensburg,Ahrensburg,30103
Ahlen,Ahlen,55280
Ahaus,Ahaus,38165
Adlershof,Adlershof,15294
Achim,Achim,30013
Achern,Achern,24478
Aalen,Aalen,67085
Vellmar,Vellmar,18623
Henstedt-Ulzburg,Henstedt-Ulzburg,26083
Aachen,Aachen,265208
MÌ¦rfelden-Walldorf,Moerfelden-Walldorf,32753
Riedstadt,Riedstadt,21362
Lauda-KÌ¦nigshofen,Lauda-Konigshofen,15278
Filderstadt,Filderstadt,43550
Ostfildern,Ostfildern,33598
Rodgau,Rodgau,43315
Gropiusstadt,Gropiusstadt,36052
Seeheim-Jugenheim,Seeheim-Jugenheim,16395
Charlottenburg-Nord,Charlottenburg-Nord,17942
Mitte,Mitte,81205
Spremberg,Spremberg,26348
Rheinstetten,Rheinstetten,20378
Altstadt Sud,Altstadt Sud,27515
Altstadt Nord,Altstadt Nord,17922
Neuehrenfeld,Neuehrenfeld,23621
Bilderstoeckchen,Bilderstoeckchen,15430
Stuttgart-Ost,Stuttgart-Ost,47500
Bochum-Hordel,Bochum-Hordel,380000
St. Pauli,St. Pauli,27612
Eidelstedt,Eidelstedt,30100
Eisleben Lutherstadt,Eisleben Lutherstadt,24346
Halle Neustadt,Halle Neustadt,44515
Bergedorf,Bergedorf,119665
Spandau,Spandau,34506
Berlin SchÌ¦neberg,Berlin Schoeneberg,116286
Berlin Treptow,Berlin Treptow,50000
Niederrad,Niederrad,22370
Haselbachtal,Haselbachtal,0
Barmbek-Nord,Barmbek-Nord,40261
Farmsen-Berne,Farmsen-Berne,33315
Falkenhagener Feld,Falkenhagener Feld,35742
Neu-HohenschÌ¦nhausen,Neu-Hohenschoenhausen,53374
Alt-HohenschÌ¦nhausen,Alt-Hohenschoenhausen,42609
Fennpfuhl,Fennpfuhl,31529
Hamburg-Nord,Hamburg-Nord,280000
Burg Unter-Falkenstein,Burg Unter-Falkenstein,0
Neustadt/Nord,Neustadt/Nord,28146
Neustadt/SÌ_d,Neustadt/Sued,37939
Kalk,Kalk,22802
MÌ_lheim,Muelheim,41711
Gartenstadt,Gartenstadt,17745
DÌ_sseldorf-Pempelfort,Duesseldorf-Pempelfort,28941
Burglesum,Burglesum,33000
Tadjoura,Tadjoura,22193
Obock,Obock,17776
Djibouti,Djibouti,623891
‡ü_Ì¢nan,Danan,40074
'Ali Sabieh,'Ali Sabieh,40074
Viborg,Viborg,34831
Vejle,Vejle,51177
VanlÌüse,Vanlose,37115
Taastrup,Taastrup,30977
Svendborg,Svendborg,27553
StenlÌüse,Stenlose,19998
SÌünderborg,Sonderborg,27033
Slagelse,Slagelse,31896
Skive,Skive,20815
Silkeborg,Silkeborg,41674
Roskilde,Roskilde,44285
RÌüdovre,Rodovre,30000
Ringsted,Ringsted,20188
Randers,Randers,55780
Odense,Odense,145931
NykÌübing Falster,Nykobing Falster,16807
Nyborg,Nyborg,15826
NÌ_stved,Naestved,40660
NÌürresundby,Norresundby,22083
LillerÌüd,Lillerod,15359
KorsÌür,Korsor,15029
KÌüge,Koge,33885
Copenhagen,Copenhagen,1153615
Kolding,Kolding,55363
Kalundborg,Kalundborg,15939
IshÌüj,Ishoj,19453
Hvidovre,Hvidovre,49380
Horsens,Horsens,50074
HÌürsholm,Horsholm,36670
Holstebro,Holstebro,32072
HolbÌ_k,Holbaek,24544
HjÌürring,Hjorring,24634
HillerÌüd,Hillerod,30853
Herning,Herning,44763
HelsingÌür,Helsingor,35048
Haderslev,Haderslev,20825
Greve,Greve,47671
Glostrup,Glostrup,20673
Frederikshavn,Frederikshavn,24103
Frederiksberg,Frederiksberg,95029
Fredericia,Fredericia,36946
Farum,Farum,18376
Esbjerg,Esbjerg,72205
Charlottenlund,Charlottenlund,40000
BirkerÌüd,Birkerod,18901
Ballerup,Ballerup,40000
ÌÉrhus,Arhus,237551
Aalborg,Aalborg,122219
Albertslund,Albertslund,30000
Aabenraa,Aabenraa,16344
Roseau,Roseau,16571
Villa Francisca,Villa Francisca,50185
Villa Consuelo,Villa Consuelo,28621
Villa BisonÌ_,Villa Bisono,33137
Villa Altagracia,Villa Altagracia,40027
Tamboril,Tamboril,23304
Santo Domingo,Santo Domingo,2201941
Santiago de los Caballeros,Santiago de los Caballeros,1200000
Santa Cruz de El Seibo,Santa Cruz de El Seibo,23547
Santa Cruz de Barahona,Santa Cruz de Barahona,77160
San Pedro de MacorÌ_s,San Pedro de Macoris,217899
San Juan de la Maguana,San Juan de la Maguana,72950
San JosÌ© de Ocoa,San Jose de Ocoa,21148
San Francisco de MacorÌ_s,San Francisco de Macoris,124763
San Fernando de Monte Cristi,San Fernando de Monte Cristi,17001
Puerto Plata,Puerto Plata,146000
SalvaleÌ_n de HigÌ_ey,Salvaleon de Higueey,123787
Salcedo,Salcedo,45299
Sabaneta,Sabaneta,16380
Sabana Grande de BoyÌÁ,Sabana Grande de Boya,16834
RÌ_o Grande,Rio Grande,20154
Quisqueya,Quisqueya,17694
Punta Cana,Punta Cana,100023
Neiba,Neiba,18670
Nagua,Nagua,33862
Monte Plata,Monte Plata,15532
Moca,Moca,61834
Mao,Mao,48297
Las Matas de FarfÌÁn,Las Matas de Farfan,21802
La Romana,La Romana,208437
Jarabacoa,Jarabacoa,29983
Hato Mayor del Rey,Hato Mayor del Rey,35999
Esperanza,Esperanza,42169
DajabÌ_n,Dajabon,16398
CotuÌ_,Cotui,41641
Constanza,Constanza,29481
ConcepciÌ_n de La Vega,Concepcion de La Vega,102426
Ciudad Nueva,Ciudad Nueva,18756
Bonao,Bonao,73269
Boca Chica,Boca Chica,46300
San CristÌ_bal,San Cristobal,154040
Bella Vista,Bella Vista,175683
Bayaguana,Bayaguana,21055
BanÌ_,Bani,66709
Bajos de Haina,Bajos de Haina,66784
Azua,Azua,59139
Santo Domingo Oeste,Santo Domingo Oeste,701269
Santo Domingo Este,Santo Domingo Este,700000
Boumerdas,Boumerdas,786499
Zeribet el Oued,Zeribet el Oued,23187
Zeralda,Zeralda,17563
Zemoura,Zemoura,21770
Touggourt,Touggourt,49044
Tolga,Tolga,68246
Tlemcen,Tlemcen,132341
Tizi Rached,Tizi Rached,17872
Tizi Ouzou,Tizi Ouzou,144000
Tizi-n-Tleta,Tizi-n-Tleta,22404
Tizi Gheniff,Tizi Gheniff,27974
Tissemsilt,Tissemsilt,61155
Tirmitine,Tirmitine,26261
Tipasa,Tipasa,25225
Tindouf,Tindouf,45966
Timizart,Timizart,41158
Timimoun,Timimoun,49237
el hed,el hed,31890
Tiaret,Tiaret,178915
Theniet el Had,Theniet el Had,27687
Thenia,Thenia,16180
Telerghma,Telerghma,51708
TÌ©bessa,Tebessa,634332
Tebesbest,Tebesbest,41091
Tazoult-Lambese,Tazoult-Lambese,41636
Tamanrasset,Tamanrasset,73128
Tamalous,Tamalous,32579
TadmaÌøt,Tadmait,20952
Sour el Ghozlane,Sour el Ghozlane,50204
Souma,Souma,40745
Lardjem,Lardjem,30000
Souk Ahras,Souk Ahras,156745
Sougueur,Sougueur,68654
Skikda,Skikda,162702
Sig,Sig,58877
Sidi Okba,Sidi Okba,34985
Sidi Moussa,Sidi Moussa,57928
Sidi MÌ©rouane,Sidi Merouane,25129
Sidi Khaled,Sidi Khaled,64476
Sidi ech Chahmi,Sidi ech Chahmi,35512
Sidi Bel AbbÌ¬s,Sidi Bel Abbes,191769
Sidi Amrane,Sidi Amrane,29734
Sidi Akkacha,Sidi Akkacha,26558
Sidi AÌøssa,Sidi Aissa,69740
Sidi Abdelli,Sidi Abdelli,23543
Sfizef,Sfizef,31081
SÌ©tif,Setif,288461
Sedrata,Sedrata,53318
Seddouk,Seddouk,19884
Sebdou,Sebdou,41146
Saoula,Saoula,16812
Salah Bey,Salah Bey,23339
SaÌøda,Saida,127497
Rouissat,Rouissat,80784
Rouiba,Rouiba,20742
Rouached,Rouached,40263
Robbah,Robbah,30446
Remchi,Remchi,51224
Relizane,Relizane,130094
Reguiba,Reguiba,62185
ReghaÌøa,Reghaia,54962
Reggane,Reggane,32974
RÌ¢s el Oued,Ras el Oued,56726
RÌ¢s el AÌøoun,Ras el Aioun,34167
Oum el Bouaghi,Oum el Bouaghi,100821
Ouled Mimoun,Ouled Mimoun,33888
Oued Sly,Oued Sly,30504
Oued Rhiou,Oued Rhiou,59864
Oued Fodda,Oued Fodda,44523
Oued el Alleug,Oued el Alleug,21146
Oued el Abtal,Oued el Abtal,22819
Ouargla,Ouargla,129402
Oran,Oran,645984
Nedroma,Nedroma,36995
Naciria,Naciria,15387
M‰ÛªSila,M'Sila,100000
MouzaÌøa,Mouzaia,32981
Mostaganem,Mostaganem,130000
Mila,Mila,68831
Metlili Chaamba,Metlili Chaamba,50117
Messaad,Messaad,99485
Meskiana,Meskiana,30071
Mers el Kebir,Mers el Kebir,20178
Merouana,Merouana,47646
Melouza,Melouza,25701
Mekla,Mekla,29560
Mehdia,Mehdia,39271
Megarine,Megarine,31711
Meftah,Meftah,59990
MÌ©dÌ©a,Medea,147707
Mazouna,Mazouna,22366
Mascara,Mascara,150000
Mansourah,Mansourah,22117
MansoÌÈra,Mansoura,52285
Makouda,Makouda,34515
L‰ÛªArbaa NaÌøt Irathen,L'Arbaa Nait Irathen,30609
LarbaÌ¢,Larbaa,69298
Lakhdaria,Lakhdaria,56719
Laghouat,Laghouat,113872
Ksar el Boukhari,Ksar el Boukhari,77166
Ksar Chellala,Ksar Chellala,58478
Kolea,Kolea,31816
Khenchela,Khenchela,117000
Khemis Miliana,Khemis Miliana,75865
Khemis el Khechna,Khemis el Khechna,49757
Kerkera,Kerkera,46747
Jijel,Jijel,148000
Djidiouia,Djidiouia,31996
Isser,Isser,17953
I-n-Salah,I-n-Salah,49223
Ighram,Ighram,15030
Hennaya,Hennaya,41959
HÌ©liopolis,Heliopolis,40139
Hassi Messaoud,Hassi Messaoud,53000
Hammamet,Hammamet,28536
Hammam Bou Hadjar,Hammam Bou Hadjar,35896
Hamma Bouziane,Hamma Bouziane,63012
Hadjout,Hadjout,27549
Guelma,Guelma,123590
GhardaÌøa,Ghardaia,93423
Frenda,Frenda,63319
Freha,Freha,31068
Feraoun,Feraoun,21700
Es Senia,Es Senia,68084
El Tarf,El Tarf,20300
El Oued,El Oued,134699
El Malah,El Malah,19415
El Kseur,El Kseur,26050
El Khroub,El Khroub,83746
El Kala,El Kala,35449
El Idrissia,El Idrissia,38714
El Hadjira,El Hadjira,39744
El Hadjar,El Hadjar,46656
El Eulma,El Eulma,128351
El Bayadh,El Bayadh,64632
El Attaf,El Attaf,43837
Chlef,Chlef,178616
El Aouinet,El Aouinet,32971
El Amria,El Amria,26407
El Affroun,El Affroun,42627
El Achir,El Achir,158333
El Abiodh Sidi Cheikh,El Abiodh Sidi Cheikh,39283
El Abadia,El Abadia,28724
Ech Chettia,Ech Chettia,167955
Drean,Drean,55147
Draa el Mizan,Draa el Mizan,41263
Draa Ben Khedda,Draa Ben Khedda,37443
Douera,Douera,26926
Djelfa,Djelfa,154265
Djamaa,Djamaa,52882
Didouche Mourad,Didouche Mourad,25764
Dellys,Dellys,26384
Debila,Debila,36834
Dar el BeÌøda,Dar el Beida,37311
Dar Chioukh,Dar Chioukh,54022
Constantine,Constantine,450097
Chorfa,Chorfa,20556
Chiffa,Chiffa,23218
Chetouane,Chetouane,39913
Cheria,Cheria,72095
Cheraga,Cheraga,27835
Chemini,Chemini,21585
Chelghoum el AÌød,Chelghoum el Aid,71660
Chebli,Chebli,19901
Charef,Charef,27700
Chabet el Ameur,Chabet el Ameur,19522
Brezina,Brezina,19084
Bou Tlelis,Bou Tlelis,26144
Boumahra Ahmed,Boumahra Ahmed,23022
Boukadir,Boukadir,26662
Bou IsmaÌøl,Bou Ismail,22411
BouÌøra,Bouira,52500
Bouinan,Bouinan,30271
Bou Hanifia el Hamamat,Bou Hanifia el Hamamat,27576
Bougara,Bougara,63155
Bougaa,Bougaa,38597
Boufarik,Boufarik,59742
Boudouaou,Boudouaou,45153
Boudjima,Boudjima,20557
BoÌÈ Arfa,Bou Arfa,44143
